order_id,customer_id,amount
100,12,218.33
101,6,111.89
102,2,288.17
103,1,25.34
104,12,422.72
105,12,230.38
106,17,203.62
107,10,464.06
108,16,366.36
109,15,170.0
110,15,289.52
111,19,265.21
112,12,480.97
113,20,423.82
114,3,376.19
115,5,274.45
116,19,297.51
117,7,482.98
118,9,307.45
119,7,145.24
120,18,155.17
121,4,90.98
122,14,17.66
123,18,217.47
124,9,203.49
125,2,153.81
126,20,16.9
127,15,107.43
128,7,358.56
129,12,397.19
130,8,306.92
131,15,463.89
132,3,329.03
133,14,458.33
134,17,426.52
135,4,230.23
136,18,56.75
137,8,191.7
138,4,337.73
139,2,336.3
