payment_id,order_ref,client_id,payment_amount
500,139,12,127.39
501,121,12,81.0
502,126,20,249.83
503,134,11,492.97
504,100,7,128.61
505,134,1,339.35
506,136,1,383.19
507,113,20,126.44
508,102,13,366.83
509,100,9,190.21
510,104,3,319.83
511,125,7,320.43
512,113,6,272.53
513,138,8,54.24
514,126,9,419.3
515,108,5,167.18
516,114,1,101.39
517,114,19,29.98
518,125,10,299.54
519,112,12,342.01
520,131,15,18.13
521,138,9,260.93
522,131,20,120.98
523,103,17,326.13
524,129,17,95.44
525,136,20,348.56
526,122,12,199.5
527,138,7,469.0
528,114,2,77.39
529,128,3,177.12
530,135,17,65.6
531,112,5,463.1
532,131,17,439.9
533,106,17,136.39
534,121,17,333.39
535,127,2,410.44
536,101,2,282.05
537,105,5,269.53
538,127,1,128.51
539,127,1,55.62
