product_id,shop_id,name,color,fabric,size_range,price_LKR,product_url,created_ts,popularity_score,stock_count,seasonal_score,material_grade,category_name
1.0,33.0,Fashion Item 0,Beige,Cotton,S-XL,4871.58,https://shop.lk/product/0,2023-05-18T00:00:00,0.015,271.0,High,C,T-Shirts
2.0,29.0,Fashion Item 1,Yellow,Cotton,M-XXL,3475.31,https://shop.lk/product/1,2024-02-29T00:00:00,0.72,190.0,High,Premium,Jeans
3.0,26.0,Fashion Item 2,Green,Linen,S-XL,2769.07,https://shop.lk/product/2,2024-12-13T00:00:00,0.447,104.0,Low,C,Skirts
4.0,16.0,Fashion Item 3,Grey,Cotton,M-XL,7792.34,https://shop.lk/product/3,2024-07-12T00:00:00,0.97,275.0,Low,A,Jeans
5.0,38.0,Fashion Item 4,Black,Linen,S-XL,7008.82,https://shop.lk/product/4,2023-09-06T00:00:00,0.413,258.0,High,B,Skirts
6.0,14.0,Fashion Item 5,Pink,Rayon,M-XL,2603.67,https://shop.lk/product/5,2023-07-10T00:00:00,0.043,5.0,Medium,Premium,Jackets
7.0,46.0,Fashion Item 6,Blue,Cotton,XS-L,7267.75,https://shop.lk/product/6,2025-05-22T00:00:00,0.124,65.0,High,Standard,Dresses
8.0,35.0,Fashion Item 7,White,Polyester,M-XXL,3678.33,https://shop.lk/product/7,2024-07-06T00:00:00,0.157,98.0,High,A,Shirts
9.0,12.0,Fashion Item 8,Blue,Denim,S-XL,7358.04,https://shop.lk/product/8,2025-01-19T00:00:00,0.758,130.0,Medium,A,Dresses
10.0,26.0,Fashion Item 9,Red,Denim,S-XL,2088.81,https://shop.lk/product/9,2023-10-07T00:00:00,0.453,161.0,Low,A,Shirts
11.0,18.0,Fashion Item 10,Green,Cotton,XS-L,2320.91,https://shop.lk/product/10,2024-05-19T00:00:00,0.866,12.0,High,C,T-Shirts
12.0,41.0,Fashion Item 11,Blue,Linen,S-XL,4574.57,https://shop.lk/product/11,2025-02-24T00:00:00,0.589,223.0,High,Premium,Shorts
13.0,19.0,Fashion Item 12,Grey,Polyester,S-XL,6714.32,https://shop.lk/product/12,2024-02-16T00:00:00,0.592,48.0,Medium,B,Jackets
14.0,43.0,Fashion Item 13,Black,Cotton,M-XL,3778.55,https://shop.lk/product/13,2023-03-19T00:00:00,1.0,54.0,Low,A,Shirts
15.0,30.0,Fashion Item 14,Yellow,Rayon,S-L,6379.97,https://shop.lk/product/14,2024-10-19T00:00:00,0.23,16.0,Low,Standard,Dresses
16.0,28.0,Fashion Item 15,Yellow,Silk,XS-L,6693.12,https://shop.lk/product/15,2023-03-31T00:00:00,0.676,207.0,Low,B,Skirts
17.0,3.0,Fashion Item 16,Blue,Rayon,M-XL,2693.25,https://shop.lk/product/16,2023-09-05T00:00:00,0.614,132.0,Medium,C,Shorts
18.0,43.0,Fashion Item 17,Yellow,Wool,S-L,2292.85,https://shop.lk/product/17,2024-05-26T00:00:00,0.422,261.0,Medium,C,Jackets
19.0,34.0,Fashion Item 18,White,Wool,M-XL,7404.88,https://shop.lk/product/18,2024-03-30T00:00:00,0.883,16.0,High,B,Jackets
20.0,48.0,Fashion Item 19,Blue,Wool,XS-L,4820.6,https://shop.lk/product/19,2023-08-08T00:00:00,0.167,192.0,Medium,B,Shirts
21.0,8.0,Fashion Item 20,Red,Silk,S-L,6614.61,https://shop.lk/product/20,2025-02-18T00:00:00,0.395,254.0,Low,Premium,Jackets
22.0,9.0,Fashion Item 21,Red,Silk,M-XL,2610.29,https://shop.lk/product/21,2024-04-27T00:00:00,0.703,53.0,High,C,Shirts
23.0,12.0,Fashion Item 22,Beige,Rayon,S-L,7736.03,https://shop.lk/product/22,2023-05-20T00:00:00,0.566,72.0,Medium,Premium,Jackets
24.0,22.0,Fashion Item 23,Red,Silk,S-L,6486.69,https://shop.lk/product/23,2025-03-23T00:00:00,0.952,107.0,Medium,Standard,Dresses
25.0,40.0,Fashion Item 24,White,Silk,S-L,4513.58,https://shop.lk/product/24,2024-01-02T00:00:00,0.405,86.0,High,B,Dresses
26.0,35.0,Fashion Item 25,Black,Linen,M-XL,5191.56,https://shop.lk/product/25,2025-02-21T00:00:00,0.17,210.0,Medium,C,Shorts
27.0,9.0,Fashion Item 26,Beige,Silk,XS-L,4093.83,https://shop.lk/product/26,2024-04-17T00:00:00,0.892,236.0,High,A,Dresses
28.0,11.0,Fashion Item 27,Beige,Denim,S-XL,5749.75,https://shop.lk/product/27,2025-03-29T00:00:00,0.552,129.0,High,B,Jeans
29.0,19.0,Fashion Item 28,Green,Wool,M-XL,5411.9,https://shop.lk/product/28,2023-06-04T00:00:00,0.065,100.0,High,Standard,Shirts
30.0,2.0,Fashion Item 29,Grey,Rayon,XS-L,4277.13,https://shop.lk/product/29,2024-11-28T00:00:00,0.056,225.0,Medium,C,Jeans
31.0,3.0,Fashion Item 30,Black,Wool,S-L,3188.18,https://shop.lk/product/30,2023-05-07T00:00:00,0.433,153.0,Low,C,Shorts
32.0,13.0,Fashion Item 31,Black,Wool,S-XL,7455.41,https://shop.lk/product/31,2023-04-21T00:00:00,0.633,186.0,Medium,C,T-Shirts
33.0,5.0,Fashion Item 32,White,Polyester,M-XL,5627.79,https://shop.lk/product/32,2024-10-23T00:00:00,0.277,97.0,High,B,Shirts
34.0,8.0,Fashion Item 33,White,Rayon,S-XL,7291.97,https://shop.lk/product/33,2025-06-01T00:00:00,0.506,78.0,High,Premium,Shirts
35.0,8.0,Fashion Item 34,Blue,Polyester,M-XXL,3320.63,https://shop.lk/product/34,2023-05-28T00:00:00,0.386,264.0,Medium,Premium,T-Shirts
36.0,15.0,Fashion Item 35,Yellow,Linen,S-L,5577.15,https://shop.lk/product/35,2024-07-31T00:00:00,0.764,282.0,High,B,Shorts
37.0,11.0,Fashion Item 36,Red,Cotton,XS-L,4365.1,https://shop.lk/product/36,2025-01-22T00:00:00,0.808,185.0,Medium,C,Dresses
38.0,23.0,Fashion Item 37,Yellow,Linen,XS-L,6748.97,https://shop.lk/product/37,2024-07-19T00:00:00,0.052,276.0,Medium,Standard,Shorts
39.0,26.0,Fashion Item 38,Green,Linen,XS-L,3083.04,https://shop.lk/product/38,2023-10-06T00:00:00,0.017,228.0,Low,Premium,Dresses
40.0,34.0,Fashion Item 39,Black,Rayon,M-XXL,4539.73,https://shop.lk/product/39,2024-11-08T00:00:00,0.967,293.0,Medium,Premium,Shorts
41.0,38.0,Fashion Item 40,Red,Linen,S-L,3172.89,https://shop.lk/product/40,2024-04-15T00:00:00,0.926,93.0,High,A,T-Shirts
42.0,23.0,Fashion Item 41,Beige,Cotton,S-XL,5781.73,https://shop.lk/product/41,2023-04-22T00:00:00,0.186,68.0,Low,Standard,Jackets
43.0,44.0,Fashion Item 42,Green,Denim,S-L,7071.91,https://shop.lk/product/42,2024-04-05T00:00:00,0.018,132.0,High,A,Shirts
44.0,39.0,Fashion Item 43,Pink,Wool,XS-L,6803.22,https://shop.lk/product/43,2025-01-12T00:00:00,0.824,129.0,Low,C,Jackets
45.0,28.0,Fashion Item 44,Blue,Polyester,S-L,4810.44,https://shop.lk/product/44,2024-07-02T00:00:00,0.645,293.0,Medium,Standard,Jackets
46.0,22.0,Fashion Item 45,Red,Denim,S-L,2064.65,https://shop.lk/product/45,2024-05-19T00:00:00,0.525,58.0,High,C,Shorts
47.0,29.0,Fashion Item 46,Blue,Denim,M-XL,4126.63,https://shop.lk/product/46,2023-07-18T00:00:00,0.359,115.0,Low,Standard,Shirts
48.0,16.0,Fashion Item 47,Black,Polyester,S-L,6444.05,https://shop.lk/product/47,2023-09-07T00:00:00,0.39,261.0,Low,A,T-Shirts
49.0,14.0,Fashion Item 48,Yellow,Denim,S-L,3245.24,https://shop.lk/product/48,2023-06-08T00:00:00,0.25,138.0,Medium,Premium,T-Shirts
