trend_id,trend_name,trend_category,trend_score,week,year,emerging_designers,trend_tags,_ingestion_ts,_source_file,_ingestion_date
1.0,Pastel,Category Trend,3.762968761,1.0,2024.0,Designer_4,"Leather, Bold Colors, Cotton",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
2.0,Oversized,,4.190456688,1.0,2024.0,"Designer_38, Designer_18, Designer_27","Minimalist, Velvet, Y2K",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
3.0,Y2K,Category Trend,0.50408945,1.0,2024.0,Designer_22,"Velvet, Modal, Earth Tones",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
4.0,Monochrome,Fabric Trend,3.461025109,2.0,2024.0,"Designer_42, Designer_48, Designer_2","Stripes, Pastel, Bold Colors",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
5.0,Modal,Fabric Trend,0.788348719,2.0,2024.0,"Designer_24, Designer_3, Designer_38","Velvet, Bamboo, Y2K",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
6.0,Stripes,Style Trend,2.743518427,2.0,2024.0,Designer_31,"Bold Colors, Bamboo, Leather",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
7.0,Cotton,Color Trend,1.282403822,2.0,2024.0,Designer_6,"Monochrome, Minimalist, Earth Tones",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
8.0,Pastel,Seasonal Trend,2.216640303,3.0,2024.0,Designer_1,"Velvet, Modal, Pastel",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
9.0,Monochrome,Fabric Trend,1.631904676,3.0,2024.0,"Designer_11, Designer_29, Designer_34","Oversized, Earth Tones, Leather",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
10.0,Vintage,Seasonal Trend,2.511525014,3.0,2024.0,"Designer_31, Designer_27","Leather, Modal, Monochrome",2026-02-28 19:12:01.729383,trends_dataset.csv,2026-02-28
