action,feature,mean_abs_contrib
auto_merge_schema,new_cols,0.5595673358054774
create_new_schema_version,new_cols,0.6032057386682128
quarantine_data,new_cols,0.6513089491521934
require_human_approval,new_cols,0.0
rollback_previous_schema,new_cols,0.6187435016945837
auto_merge_schema,missing_cols,0.030720929521238578
create_new_schema_version,missing_cols,0.06640198078403318
quarantine_data,missing_cols,0.0
require_human_approval,missing_cols,0.0
rollback_previous_schema,missing_cols,0.0
auto_merge_schema,dtype_changes,0.25684806613432326
create_new_schema_version,dtype_changes,0.2879171752849753
quarantine_data,dtype_changes,0.34250438155520146
require_human_approval,dtype_changes,0.0
rollback_previous_schema,dtype_changes,0.3253791624774413
auto_merge_schema,new_col_ratio,0.13641221607808013
create_new_schema_version,new_col_ratio,0.045783394792646474
quarantine_data,new_col_ratio,0.0023558948472247546
require_human_approval,new_col_ratio,0.0
rollback_previous_schema,new_col_ratio,0.002238100104863512
auto_merge_schema,missing_col_ratio,0.00013653746453883616
create_new_schema_version,missing_col_ratio,0.0002951199145956935
quarantine_data,missing_col_ratio,0.0
require_human_approval,missing_col_ratio,0.0
rollback_previous_schema,missing_col_ratio,0.0
auto_merge_schema,dtype_change_ratio,0.03955159600812839
create_new_schema_version,dtype_change_ratio,0.014185413192424919
quarantine_data,dtype_change_ratio,0.0007076536808991577
require_human_approval,dtype_change_ratio,0.0
rollback_previous_schema,dtype_change_ratio,0.0006722709968541977
auto_merge_schema,null_ratio_delta,0.0
create_new_schema_version,null_ratio_delta,0.0
quarantine_data,null_ratio_delta,0.0
require_human_approval,null_ratio_delta,0.0
rollback_previous_schema,null_ratio_delta,0.0
auto_merge_schema,duplicate_ratio,0.0
create_new_schema_version,duplicate_ratio,0.0
quarantine_data,duplicate_ratio,0.0
require_human_approval,duplicate_ratio,0.0
rollback_previous_schema,duplicate_ratio,0.0
auto_merge_schema,downstream_failures,0.0
create_new_schema_version,downstream_failures,0.0
quarantine_data,downstream_failures,0.0
require_human_approval,downstream_failures,0.0
rollback_previous_schema,downstream_failures,0.0
auto_merge_schema,avg_latency_ms,0.0
create_new_schema_version,avg_latency_ms,0.0
quarantine_data,avg_latency_ms,0.0
require_human_approval,avg_latency_ms,0.0
rollback_previous_schema,avg_latency_ms,0.0
auto_merge_schema,storage_tier_imp,0.0
create_new_schema_version,storage_tier_imp,0.0
quarantine_data,storage_tier_imp,0.0
require_human_approval,storage_tier_imp,0.0
rollback_previous_schema,storage_tier_imp,0.0
auto_merge_schema,row_count_delta,0.0
create_new_schema_version,row_count_delta,0.0
quarantine_data,row_count_delta,0.0
require_human_approval,row_count_delta,0.0
rollback_previous_schema,row_count_delta,0.0
