domain_name,row_count,null_percentage,duplicate_percentage,freshness_hours,schema_change_flag,timestamp,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score
engagement_domain,222,0.0,0.45,35.08,0,2026-01-04 12:09:02,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
interaction_domain,2860,0.69,0.0,43.73,0,2026-01-04 12:09:02,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
product_domain,2479,0.93,0.0,41.19,0,2026-01-04 12:09:02,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8008,0.0,0.49,21.05,0,2026-01-04 12:09:02,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
shop_domain,19,0.72,0.0,23.65,0,2026-01-04 12:09:02,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,467,0.8,0.89,8.44,0,2026-01-04 12:09:02,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,507,0.0,0.0,21.48,0,2026-01-04 12:09:02,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
users_domain,508,0.0,0.58,24.29,0,2025-12-15 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
sales_domain,8007,0.47,0.0,14.14,0,2025-12-15 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
user_preferences_domain,475,0.65,0.25,4.16,0,2025-12-15 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
engagement_domain,220,0.69,0.52,22.26,0,2025-12-15 12:31:09,2026-01-06 04:57:12.762346,domain_health_history.csv,2026-01-06,2026-01-05T23:27:13.103967,100
