product_id,shop_id,name,color,fabric,size_range,price_lkr,product_url,created_ts,popularity_score,stock_count,category_name,_cleaned_at,_dq_score,transaction_date,transaction_year_month,_enriched_at
1.0,33.0,fashion item 0,beige,cotton,s-xl,4871.58,https://shop.lk/product/0,2023-05-18t00:00:00,0.015,271.0,t-shirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
2.0,29.0,fashion item 1,yellow,cotton,m-xxl,3475.31,https://shop.lk/product/1,2024-02-29t00:00:00,0.72,190.0,jeans,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
3.0,26.0,fashion item 2,green,linen,s-xl,2769.07,https://shop.lk/product/2,2024-12-13t00:00:00,0.447,104.0,skirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
4.0,16.0,fashion item 3,grey,cotton,m-xl,7792.34,https://shop.lk/product/3,2024-07-12t00:00:00,0.97,275.0,jeans,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
5.0,38.0,fashion item 4,black,linen,s-xl,7008.82,https://shop.lk/product/4,2023-09-06t00:00:00,0.413,258.0,skirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
6.0,14.0,fashion item 5,pink,rayon,m-xl,2603.67,https://shop.lk/product/5,2023-07-10t00:00:00,0.043,5.0,jackets,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
7.0,46.0,fashion item 6,blue,cotton,xs-l,7267.75,https://shop.lk/product/6,2025-05-22t00:00:00,0.124,65.0,dresses,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
8.0,35.0,fashion item 7,white,polyester,m-xxl,3678.33,https://shop.lk/product/7,2024-07-06t00:00:00,0.157,98.0,shirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
9.0,12.0,fashion item 8,blue,denim,s-xl,7358.04,https://shop.lk/product/8,2025-01-19t00:00:00,0.758,130.0,dresses,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
10.0,26.0,fashion item 9,red,denim,s-xl,2088.81,https://shop.lk/product/9,2023-10-07t00:00:00,0.453,161.0,shirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
11.0,18.0,fashion item 10,green,cotton,xs-l,2320.91,https://shop.lk/product/10,2024-05-19t00:00:00,0.866,12.0,t-shirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
12.0,41.0,fashion item 11,blue,linen,s-xl,4574.57,https://shop.lk/product/11,2025-02-24t00:00:00,0.589,223.0,shorts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
13.0,19.0,fashion item 12,grey,polyester,s-xl,6714.32,https://shop.lk/product/12,2024-02-16t00:00:00,0.592,48.0,jackets,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
14.0,43.0,fashion item 13,black,cotton,m-xl,3778.55,https://shop.lk/product/13,2023-03-19t00:00:00,1.0,54.0,shirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
15.0,30.0,fashion item 14,yellow,rayon,s-l,6379.97,https://shop.lk/product/14,2024-10-19t00:00:00,0.23,16.0,dresses,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
16.0,28.0,fashion item 15,yellow,silk,xs-l,6693.12,https://shop.lk/product/15,2023-03-31t00:00:00,0.676,207.0,skirts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
17.0,3.0,fashion item 16,blue,rayon,m-xl,2693.25,https://shop.lk/product/16,2023-09-05t00:00:00,0.614,132.0,shorts,2026-05-02T10:32:00.662267,100,,,2026-05-02T10:32:04.440408
