shop_id,shop_name,location,district,postal_code,phone_number,is_active,operating_hours_open,operating_hours_close,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score
1,foa,batticaloa,batticaloa,25795,9466755036,true,09:00,19:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
2,incarnage,batticaloa,batticaloa,16265,9436735830,true,09:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
3,hameedia,jaffna,jaffna,74820,9414981505,true,09:30,20:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
4,signature,borella,colombo,15311,9486893497,true,09:00,19:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
5,odel,matrahena,matara,28431,9456792155,false,10:00,,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
6,arpico,galle,galle,77435,9471136438,false,09:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
7,dresssmart,negombo,gampaha,13890,9471306900,true,09:30,19:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
8,casual corner,borella,colombo,53001,9478574553,true,10:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
9,house of fashion,matara,matara,90077,9478979792,true,09:30,20:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
10,fashion bug,jaffna,jaffna,88953,9432335235,true,10:00,20:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
11,cool guy,matrahena,matara,81211,9418585377,true,09:30,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
12,urban closet,matara,matara,50397,9446433622,true,09:30,19:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
13,red dot,borella,colombo,92798,9479739572,,09:00,19:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
14,metro wear,trincomalee,trincomalee,48044,9499966606,true,09:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
15,arena,trincomalee,trincomalee,72592,9458170987,true,10:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
16,planet sports,galle,galle,49504,9454054178,true,10:00,19:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
17,lifestyle,matrahena,matara,36854,9447407771,true,09:30,19:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
18,,batticaloa,,45222,9464079037,true,10:00,20:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
19,skyline clothing,galle,galle,80592,9444045666,true,09:30,,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
20,trendz,colombo,colombo,92948,9484023414,true,10:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
21,elements,trincomalee,trincomalee,10206,9483619289,true,09:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
22,crossover,batticaloa,batticaloa,64268,9446810847,true,09:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
23,###typo,batticaloa,batticaloa,66044,9446898446,true,09:00,21:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
24,elite wear,galle,galle,32299,9471777469,true,09:30,20:00,2026-02-28 19:12:01.848395,shops_dataset.csv,2026-02-28,2026-03-09T22:55:39.743682,98
