shop_id,shop_name,location,district,postal_code,phone_number,is_active,operating_hours_open,operating_hours_close,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score
1,foa,batticaloa,batticaloa,25795,9466755036,True,09:00,19:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
2,incarnage,batticaloa,batticaloa,16265,9436735830,True,09:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
3,hameedia,jaffna,jaffna,74820,9414981505,True,09:30,20:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
4,signature,borella,colombo,15311,9486893497,True,09:00,19:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
5,odel,matrahena,matara,28431,9456792155,False,10:00,,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
6,arpico,galle,galle,77435,9471136438,False,09:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
7,dresssmart,negombo,gampaha,13890,9471306900,True,09:30,19:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
8,casual corner,borella,colombo,53001,9478574553,True,10:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
9,house of fashion,matara,matara,90077,9478979792,True,09:30,20:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
10,fashion bug,jaffna,jaffna,88953,9432335235,True,10:00,20:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
11,cool guy,matrahena,matara,81211,9418585377,True,09:30,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
12,urban closet,matara,matara,50397,9446433622,True,09:30,19:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
13,red dot,borella,colombo,92798,9479739572,,09:00,19:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
14,metro wear,trincomalee,trincomalee,48044,9499966606,True,09:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
15,arena,trincomalee,trincomalee,72592,9458170987,True,10:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
16,planet sports,galle,galle,49504,9454054178,True,10:00,19:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
17,lifestyle,matrahena,matara,36854,9447407771,True,09:30,19:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
18,,batticaloa,,45222,9464079037,True,10:00,20:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
19,skyline clothing,galle,galle,80592,9444045666,True,09:30,,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
20,trendz,colombo,colombo,92948,9484023414,True,10:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
21,elements,trincomalee,trincomalee,10206,9483619289,True,09:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
22,crossover,batticaloa,batticaloa,64268,9446810847,True,09:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
23,###typo,batticaloa,batticaloa,66044,9446898446,True,09:00,21:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
24,elite wear,galle,galle,32299,9471777469,True,09:30,20:00,2026-01-06 04:57:12.378044,shops_dataset.csv,2026-01-06,2026-01-05T23:27:12.753346,98
