interaction_id,user_id,product_id,interaction_type,interaction_ts,interaction_date
1,253,554,view,2024-06-11 11:42:34.120871,2024-08-20
3,179,1299,add_to_cart,2024-01-05 06:15:17.568281,2024-03-15
4,353,2020,view,2024-08-30 21:28:41.425280,2024-11-08
5,54,878,view,2024-03-18 04:13:30.783131,2024-05-27
6,200,2061,wishlist,2024-10-19 18:48:53.290430,2024-12-28
7,396,881,view,2024-03-10 21:41:39.121622,2024-05-19
8,270,1635,view,2024-04-09 15:31:49.321328,2024-06-18
9,104,1432,view,2024-09-25 19:33:13.069893,2024-12-04
10,38,2076,wishlist,2024-10-20 00:00:00.000000,2024-12-29
11,367,2285,wishlist,2024-04-15 22:31:38.906579,2024-06-24
12,326,85,add_to_cart,2024-10-08 11:31:37.745377,2024-12-17
13,388,2314,view,2024-07-17 06:24:27.617488,2024-09-25
14,205,2276,view,2024-03-05 17:03:13.529817,2024-05-14
15,159,388,view,2024-07-18 23:26:39.691771,2024-09-26
16,136,676,view,2024-02-24 07:05:04.133915,2024-05-04
17,152,1701,view,2024-06-23 23:52:07.991201,2024-09-01
18,222,1306,view,2024-10-16 22:48:35.523324,2024-12-25
19,129,2268,view,2024-09-03 20:29:11.585812,2024-11-12
20,348,1526,add_to_cart,2024-05-07 00:00:00.000000,2024-07-16
21,64,1045,view,2024-04-22 02:02:02.539353,2024-07-01
23,451,1306,review,2024-04-15 19:19:48.115462,2024-06-24
24,27,948,view,2024-05-13 22:37:40.851937,2024-07-22
26,419,302,view,2024-06-14 02:26:15.114560,2024-08-23
27,387,646,add_to_cart,2024-06-02 11:06:43.716840,2024-08-11
28,174,1999,wishlist,2024-02-09 11:42:44.311712,2024-04-19
29,289,2367,view,2024-08-02 00:28:27.627726,2024-10-11
30,60,1129,view,2024-06-25 22:50:16.237807,2024-09-03
31,127,83,wishlist,2024-08-18 18:21:28.131519,2024-10-27
32,434,1641,review,2024-08-04 10:19:20.487193,2024-10-13
33,74,890,review,2024-07-19 19:37:48.651084,2024-09-27
35,468,2231,view,2024-05-27 10:15:12.512123,2024-08-05
36,356,2102,review,2024-09-25 09:37:49.545282,2024-12-04
37,377,612,view,2024-09-26 22:02:38.511075,2024-12-05
38,492,1127,add_to_cart,2024-06-06 20:23:06.989054,2024-08-15
39,451,1445,view,2024-09-27 03:44:38.896742,2024-12-06
40,443,2452,add_to_cart,2024-02-02 02:17:14.979954,2024-04-12
41,288,2262,view,2024-04-15 20:16:06.634389,2024-06-24
42,322,180,wishlist,2024-06-12 17:09:51.802582,2024-08-21
43,174,1705,wishlist,2024-05-22 03:16:31.004164,2024-07-31
44,261,1661,review,2024-01-21 15:32:11.757502,2024-03-31
45,392,1178,wishlist,2024-04-11 13:38:24.920933,2024-06-20
46,354,1915,view,2024-03-14 16:02:49.589491,2024-05-23
47,332,413,view,2024-07-09 03:12:32.763190,2024-09-17
48,5,2416,wishlist,2024-06-07 16:01:43.068569,2024-08-16
49,452,1565,review,2024-03-25 23:21:27.345020,2024-06-03
50,414,2276,view,2024-07-09 13:12:00.872159,2024-09-17
51,240,518,wishlist,2024-09-12 18:36:29.760264,2024-11-21
52,143,1978,view,2024-05-15 03:38:08.981897,2024-07-24
53,460,765,view,2024-01-24 07:17:35.591566,2024-04-03
55,431,1067,view,2024-07-28 14:35:14.501512,2024-10-06
56,319,2222,wishlist,2024-05-05 08:04:02.748431,2024-07-14
57,41,2457,add_to_cart,2024-03-29 03:23:54.862258,2024-06-07
58,180,1183,view,2024-06-01 00:00:00.000000,2024-08-10
59,27,2424,wishlist,2024-07-09 21:12:16.951764,2024-09-17
60,278,249,add_to_cart,2024-10-10 17:46:05.354919,2024-12-19
61,368,2173,view,2024-01-24 00:00:00.000000,2024-04-03
62,472,1439,view,2024-07-20 10:18:00.875765,2024-09-28
63,200,889,purchase,2024-10-22 07:45:43.585170,2024-12-31
64,130,1211,view,2024-10-08 20:16:30.042166,2024-12-17
65,162,1987,wishlist,2024-02-10 11:44:26.980679,2024-04-20
66,457,175,view,2024-06-30 03:58:03.728401,2024-09-08
68,375,2015,view,2024-02-16 03:55:39.686899,2024-04-26
69,470,224,review,2024-04-20 23:48:16.073979,2024-06-29
70,463,1148,view,2024-10-25 05:01:41.561308,2025-01-03
71,75,500,view,2024-01-17 12:29:04.540678,2024-03-27
72,268,1511,add_to_cart,2024-04-05 00:39:26.824910,2024-06-14
73,50,723,wishlist,2024-10-25 04:55:31.461767,2025-01-03
