customer_id,order_id,sales_amount,quantity,discount_amount,order_date
CUST_SL_1001,ORD_FSH_24001,12500.00,2,500.00,2026-04-02
CUST_SL_1002,ORD_FSH_24002,8900.50,1,0.00,2026-04-03
CUST_SL_1003,ORD_FSH_24003,15200.75,3,1200.00,2026-04-04
CUST_SL_1004,ORD_FSH_24004,6400.00,1,200.00,2026-04-05
CUST_SL_1005,ORD_FSH_24005,22100.00,4,1800.00,2026-04-06
CUST_SL_1006,ORD_FSH_24006,9800.25,2,0.00,2026-04-07
CUST_SL_1007,ORD_FSH_24007,17350.00,2,950.00,2026-04-08
CUST_SL_1008,ORD_FSH_24008,4550.00,1,0.00,2026-04-09
CUST_SL_1009,ORD_FSH_24009,19800.50,3,1500.00,2026-04-10
CUST_SL_1010,ORD_FSH_24010,11200.00,2,400.00,2026-04-11
